Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2289.47,2283.914,1815.572,1725.043,1682.267,1677.622,1768.902,1782.339,1639.208,1416.67,1413.241,1361.467,1293.145,1271.432
Cyprus,3362.42,2967.245,2677.194,3361.056,5784.798,11801.233,14299.321,18762.952,27322.319,32810.581,32699,32985,36240.428,36188.355,39972.558,39325.233,40378.044,37966.13,36994.017,36298.751,36669.359,36165,35832,36029,35331.741,34180,30316.052,30067.811,29431.387,31387.587,31305.207,28567.4,33269.993,31679.483,32816.419,33130.968,33189.967,33851.776,35078.894,34557.888,34541.749,34007.286,33479.278,31581.641,30645.763
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,,353.943,271.836,226.479,132.368,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.088
Czechoslovakia,232.912,232.912,271.735,271.154,276.647,276.647,276.647,299.27,230.363,231.72,279,510,445.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dem. People's Rep. of Korea,211.257,337.911,411.83,416.285,724.779,739.855,829.392,615.292,603.049,581.714,529,656,721.342,954.126,1039.734,1079.103,1011.935,884.753,838.384,782.013,846.6,843,920,1179,1310.964,1531,1733.047,1444.868,1388.234,1390.259,1265.606,1314.167,1127.514,975.715,781.231,768.974,790.037,872.743,1029.379,1053.718,1058.662,1078.228,1116.061,1136.901,1262.637
Dem. Rep. of the Congo,132.276,132.276,133.256,133.256,133.256,121.416,,91.012,75.932,75.932,76,76,30.692,31.192,15.842,15.892,15.842,15.842,,,,,,15,,,,16.653,5.141,16.653,16.653,,7.729,10.729,21.055,43.107,42.686,81.168,26.934,33.478,33.478,33.478,40.825,41.259,41.54
Democratic Republic of Germany,1988.053,1963.4,2041.74,1816.326,1793.102,1791.006,1815.995,1923.583,1880.002,1800.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,8980.833,8702.549,7978.002,8143.295,7926.127,7973.433,7419.442,6805.176,6961.068,6332.88,6926,8787,8058.814,7306.673,7056.794,7246.801,7617.185,7720.301,7300.786,6902.412,7420.796,8455,8587,9247,9173.165,9033,9763.991,10436.201,11075.082,12668.021,13813.826,13503.065,13763.466,13724.281,14662.392,16487.6,17187.404,17269.503,18931.103,22525.97,23174.614,24754.494,26112.323,25330.327,24986.553
Djibouti,3.365,3.365,3.256,3.256,3.256,2.853,2.65,2.65,2.65,2.65,,,0.35,4.09,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4,1,1,4.19,5,3.722,3.722,0.916,0.916,0.674,7.55,8.435,8.469,8.359,13.106,13.106,60.986,5,8.936,10.197,1897.938,3154.678,2512.127,3005.224
Dominica,44.332,,,0.959,1.243,1.243,2.144,2.953,2.475,4.218,5,4,3.153,2.833,2.833,2.833,1.901,1.901,3.076,3.076,2.71,2,2,5,44.332,467,868.369,1030.498,1734.391,1786.423,1610.393,3167.082,2031.706,1924.534,850.082,628.336,538.615,712.421,1004.338,1200.099,1230.116,680.595,583.672,263.028,141.892
