Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.36,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,16.821,24.835,32.919,33.889,122.968,154.762,359.486,833.209,1132.838,1420.136,2282,2995,6224.889,7677.707,8628.125,8595.448,9556.298,10901.76,12385.105,11436.183,10131.017,9866,10105,9536,9027.733,9136,8524.159,8527.445,8503.12,7400.157,7329.177,7504.748,5787.348,4652.797,4152.653,3759.584,3524.014,3276.762,3056.678,2606.434,2184.619,2679.143,2622.616,2680.527,2686.848
Samoa,0.194,4.694,4.926,5.962,5.962,35.293,35.293,34.751,34.751,34.751,35,35,6.501,6.501,6.501,6.501,6.501,6.501,6.441,,,,,8,,,,9.849,9.849,9.849,9.849,9.847,9.847,9.847,9.847,9.847,3.852,4.887,17.935,13.901,4.656,602.615,1199.784,4.346,4.346
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.647,0.647,248.816
Sao Tome and Principe,104.76,,0.427,0.427,0.992,0.992,1.172,1.172,1.172,1.172,1,1,0.18,2.277,2.277,2.277,2.492,2.492,2.492,8.64,36.25,197,259,121,104.76,86,67.115,42.32,37.591,29.014,27.839,26.845,17.226,10.709,14.12,18.414,18.414,11.84,11.84,11.142,13.843,680.973,688.856,1298.031,1174.338
Saudi Arabia,2448.563,2652.573,5515.601,7768.78,9311.863,6475.117,5247.299,4954.572,4588.299,3802.471,3535,2716,1447.822,1399.271,1403.323,1282.879,1414.747,1480.091,1387.721,1531.191,1442.954,1523,1386,2343,1961.839,2582,1277.58,1243.868,1103.995,1667.179,2319.295,1652.964,1338.208,1712.639,3070.374,4260.365,4237.975,4015.702,13549.499,13156.943,13901.623,13674.756,13896.191,13407.412,14286.928
Senegal,30.82,31.058,31.683,33.164,33.25,33.583,44.261,41.651,35.991,37.561,36,38,38.865,39.585,52.519,27.64,26.5,27.258,27.169,27.2,22.353,25,24,23,23.278,17,17.708,18.376,18.896,19.121,19.329,7.007,7.038,7.038,8.459,8.862,10.496,10.899,16.06,16.964,17.336,17.194,17.424,17.424,17.194
Serbia and Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,1773.189,,,,,,,,,,,,,,,10.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,3.834,3.834,1.142,0.321,0.321,0.321,0.821,2.491,2.491,2.491,2,2,3.337,3.337,3.337,3.721,4.174,3.278,4.079,14.385,22.683,21,28,95,70.053,70,135.9,144.859,243.244,286.572,288.023,586.276,258.225,586.533,370.083,370.083,372.895,208.84,206.197,206.197,207.516,207.57,207.57,175.829,176.637
Sierra Leone,0.706,1.021,1.24,1.324,1.324,1.324,1.324,1.752,3.382,8.69,14,15,14.237,18.384,18.247,15.1,15.141,11.197,11.496,10.194,11.15,8,5,23,22.45,30,100.552,372.228,588.258,754.16,792.173,2133.121,1396.561,1619.197,1640.673,1559.547,1899.379,1891.217,2081.247,2287.001,2499.487,2846.545,2933.042,2616.578,2513.44
Singapore,12924.322,12548.385,11546.514,12194.535,12027.581,11038.251,11187.28,10603.737,11924.578,11793.498,11888,12965,14289.508,15958.392,17522.426,18520.025,21020.699,25721.659,29537.419,32163.364,34635.484,33742,32799,33619,36392.975,40935,48562.144,50981.072,55550.328,60797.779,61660.395,64729.939,80310.109,92540.325,107157.417,117534.014,123237.621,124510.08,128203.543,129246.799,139911.083,136314.891,131730.294,135206.122,141012.561
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,24.533,19.489,19.489,19.489,19,19,11,42.813,185,298.795,330.441,326.892,251.505,192.902,76.573,57.462,12.91,,,,3.34,,,,,,,0.042
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,,0.967,1.123,9.061,1.123,1.123,1.093,0.782,0.782,,1,1,0.676,,0.35,0.35,0.35,0.35,0.35,1.254,1.515,1.266,1.266,1.266,1.266,1.266,1.627,1.627,1.981,1.981,2.762,1.696,1.636
Solomon Islands,1.705,1.87,2.162,3.658,3.822,4.552,4.552,5.15,5.35,6.797,7,6,5.771,4.985,4.994,5.746,5.746,6.775,6.775,6.905,6.905,6,6,6,4.623,6,5.427,5.427,6.485,6.485,8.045,3.978,3.513,3.65,4.132,4.132,4.132,4.683,4.46,6.714,7.453,7.044,6.702,6.702,6.702
Somalia,73.772,60.666,44.811,15.827,16.727,29.291,31.051,14.96,18.852,15.86,14,19,18.488,18.496,19.526,17.288,16.476,12.289,10.817,10.817,6.756,8,6,6,5.735,7,6.515,10.127,9.097,5.485,5.485,0.629,0.629,0.629,0.629,4.623,4.623,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629
South Africa,858.106,839.525,839.715,882.188,891.742,790.707,673.223,661.706,570.373,522.723,352,299,284.424,281.634,294.115,284.973,293.672,365.487,368.886,368.943,368.98,368,359,59,107.403,104,114.014,110.101,117.456,124.862,125.861,67.527,67.005,69.713,72.053,74.02,473.195,442.304,447.954,448.091,499.162,343.839,553.676,545.872,487.966
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27.242,17.642,94.899,102.827,,,,,,,,
Spain,13943.083,13522.33,13801.121,13878.611,12788.157,12122.088,10820,9286.019,8387.475,7263.227,6461,6185,5428.467,3918.84,2206.826,1817.162,1282.444,1935.194,1906.114,2045.455,2053.02,2142,2185,2338,2586.535,2655,2540.721,2689.155,2746.159,2710.955,2554.732,2570.97,2544.847,2480.163,2205.434,1857.124,1845.754,2023.131,2043.078,1924.311,1930.125,1917.514,1903.071,1900.639,1697.54
Special economies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,126.736,126.766,145.07,169.66,586.695,1203.057,974.235,972.049,908.466,557.603,371,528,507.087,446.231,452.848,450.585,325.695,345.355,312.262,279.522,287.64,238,243,95,187.284,196,221.863,224.084,215.477,244.949,238.868,302.467,238.474,225.149,212.205,248.726,278.836,397.251,432.675,419.473,394.891,322.429,315.05,320.329,297.673
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.755,27.755,27.755,15.767,18.9,19.06,18.777,5.872,5.872,5.872,5.872,2.739,2.739
Sudan (...2011),56.893,141.589,124.085,124.085,124.311,128.223,126.381,126.381,127.655,127.655,127,79,62.244,62.244,86.466,72.752,61.804,53.241,53.241,53.241,53.241,52,53,41,29.019,16,16.664,28.775,28.775,28.775,27.553,28.918,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,13.178,18.978,19.208,19.208,19.187,19.187,19.187,15.285,13.706,13.706,15,16,15.721,15.721,15.721,9.702,9.042,9.063,9.298,7.177,7.213,6,6,6,6.803,6,6.803,6.803,6.767,7.061,5.687,6.919,6.919,6.919,6.919,6.919,6.919,6.919,6.919,6.919,6.919,6.955,6.955,6.955,6.955
Sweden,7375.514,6626.26,6181.286,5793.918,5056.492,5195.995,4230.771,3037.436,2402.531,1926.589,1995,2942,3818.501,3305.593,2415.503,2293.756,2384.275,2404.621,2080.545,1657.183,1846.038,1822,1787,1886,2116.494,2191,2235.287,2483.988,2423.832,2512.772,2206.332,1899.342,2038.464,1805.763,1663.037,1473.192,1368.974,1095.551,984.423,1084.43,1078.232,1151.885,1202.937,1247.324,1076.781
Switzerland,403.71,477.265,469.667,468.281,478.843,487.358,535.81,550.711,579.899,434.041,363,483,632.013,606.736,516.42,654.464,660.208,738.174,738.309,731.987,779.02,834,890,1010,1040.14,832,790.634,809.911,887.129,1012.164,1023.109,927.717,1118.242,1258.833,1283.923,1401.333,1525.301,1760.22,1467.264,1225.887,1115.393,930.438,930.438,854.324,839.427
Syrian Arab Republic,45.351,54.483,60.549,61.942,70.305,81.871,83.77,92.48,93.205,97.38,102,116,179.292,234.677,330.252,445.415,558.72,650.362,637.535,656.842,679.412,697,744,695,688.914,649,598.183,569.064,516.654,453.164,344.172,254.548,191.412,107.415,68.864,61.181,61.181,61.181,61.181,80.249,82.009,77.231,46.094,237.53,145.345
Thailand,535.492,577.271,606.819,649.704,868.076,759.136,863.424,772.437,758.442,776.747,805,912,1116.908,1393.819,1736.87,2111.659,2670.02,3239.055,3437.763,3155.696,3068.395,3034,2686,2837,3411.192,4382,4591.366,4318.349,4223.667,4218.497,3746.768,5137.798,4462.685,4375.128,5072.908,5366.348,5385.19,5454.234,6285.206,5803.774,6701.655,6070.39,5375.13,4696.019,4501.467
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.262,0.262,0.262,,,,,,,,,0.262,0.262,0.262,0.262,0.262,0.262
Togo,23.38,35.919,36.12,36.12,77.28,43.199,77.989,78.009,92.082,74.682,65,78,34.126,20.633,20.633,0.08,0.08,0.283,0.299,0.299,74.4,3,7,10,10.625,13,15.428,12.423,39.625,97.849,242.823,1056.192,512.486,1293.829,1005.5,1532.055,1341.44,1665.122,1501.998,1596.739,1555.278,2090.859,2548.612,2254.028,1471.037
Tonga,28.339,18.066,23.938,23.233,20.437,21.168,22.447,21.141,23.429,17.991,43,50,20.845,13.74,13.74,12.307,15.257,14.555,15.471,25.777,29.297,30,467,396,228.214,125,96.871,88.051,74.805,74.087,77.546,93.297,67.165,45.252,42.25,79.92,73.892,75.495,77.279,35.643,46.028,21.595,19.352,12.432,13.082
Trinidad and Tobago,11.519,11.994,10.275,12.116,13.776,12.376,12.376,12.801,12.491,13.715,16,13,16.046,16.295,14.963,17.037,19.855,10.893,8.78,6.997,8.885,6,11,9,8.238,9,16.181,15.134,18.559,18.704,18.298,30.326,30.787,30.249,29.875,32.127,28.598,27.592,27.722,27.961,26.298,28.072,27.543,27.543,27.244
Tunisia,170.68,173.715,181.135,183.57,440.896,449.511,449.259,449.685,449.685,447.42,447,442,439.822,443.44,420.754,175.897,177.079,174.51,169.88,199.192,169.855,177,173,192,131.839,133,124.467,121.732,12.916,82.721,96.921,412.525,339.052,371.761,342.1,342.687,316.023,453.215,319.436,317.412,317.718,320.618,278.771,278.771,278.882
Türkiye,2079.281,2134.112,2514.136,3400.451,4088.392,5174.046,6291.799,5712.544,5516.139,5441.307,5477,6360,7635.469,6944.723,8572.915,9113.903,10345.054,10512.601,10669.764,10108.544,10174.199,9159,9270,8674,7541.66,7048,7621.087,7253.507,7300.276,7476.286,7877.98,8752.861,9680.285,10132.246,8738.37,8556.991,8628.508,8241.091,7975.144,7559.013,7063.91,6301.001,6122.47,6667.191,7230.214
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,,,,15.812,22.333,30.837,31.712,29.834,36.524,33,37,36,39.521,35,41.625,48.186,45.841,47.37,61.785,85.885,81.975,99.146,113.616,122.101,124.164,120.54,123.86,121.51,124.161,125.379,124.293,127.698,127.698
Turks and Caicos Islands,3.7,3.7,5.751,4.857,3.475,3.31,3.31,3.904,4.269,5.469,2,3,5.843,2.792,2.635,2.635,0.405,0.405,0.161,0.161,0.161,,,,0.161,,0.161,0.161,0.161,0.161,0.161,0.677,0.677,0.677,0.725,0.725,0.725,0.725,0.573,0.573,0.573,0.573,0.573,0.573,0.573
Tuvalu,93.406,0.25,0.25,0.25,0.458,0.458,0.458,0.458,0.458,0.458,1,1,0.798,16.005,114.14,77.164,93.096,84.936,82.315,75.99,68.395,78,58,106,93.406,210,310.388,519.158,1440.605,1803.144,1884.124,2994.426,1646.775,2250.936,2206.987,1824.555,1661.232,1910.761,2036.667,1893.262,1931.703,1952.452,2109.1,1899.638,1608.064
Uganda,9.115,9.115,,,,2.7,,8.6,8.6,8.6,1,,,,,,,2.743,2.743,2.743,2.743,3,3,,,,,,,,,,,,,40.25,40.25,40.25,,,,,,,
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,,6176.656,6205.712,6189.328,5275.767,4023.139,2572.96,1920.013,1667.473,1440,1304,1080,1267.279,1132,1132.127,1130.775,1148.97,1091.917,903.883,730.78,631.003,517.967,497.611,432.21,420.778,383.105,352.766,353.304,363.405,395.13,388.292,346.751,345.46
Union of Soviet Socialist Republics,25293.201,25894.991,26234.192,26626.875,27573.767,27928.263,28153.312,28145.633,28555.746,29199.278,29212,29360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,252.717,256.321,285.298,351.421,450.327,1349.672,1523.669,1018.926,1159.928,1311.865,1316,1158,1330.345,1417.265,1197.378,1603.019,1530.915,1350.183,1380.748,1330.854,1042.535,1102,938,854,1007.41,986,1065.617,1118.778,1028.493,1410.134,1412.306,1496.331,1385.13,1261.327,1007.495,999.689,988.341,847.556,820.886,673.415,727.361,744.345,858.205,830.5,889.546
United Kingdom,45080.069,43814.177,41272.605,35989.889,29878.378,24140.368,21794.712,16871.643,11676.489,11113.525,10252,8594,7839.268,7637.405,7400.787,4839.81,4662.307,3904.99,3106.354,3994.356,4226.064,4949.899,6458.302,7065.145,10362.328,9659.724,11662.386,14492.929,15887.677,18091.561,20176.299,17437.305,20082.105,19942.021,16732.471,14267.649,15075.917,15857.995,16799.129,17072.722,11759.025,11745.824,10964.725,10687.793,11135.245
United Republic of Tanzania,74.737,67.934,71.322,71.672,71.081,70.991,,59.048,32.888,33.638,32,32,48.78,49.519,51.602,49.433,51.536,,51.829,,,36,37,46,41.637,41,38.573,38.795,79.39,42.921,116.631,8074.545,630.484,9269.42,12042.148,12557.576,13402.645,1135.726,1037.992,844.163,736.539,1753.724,1971.079,2294.58,2762.292
United States of America,21207.502,22197.667,23022.67,23205.076,23714.866,23303.867,23042.74,22959.085,23262.197,23336.796,22954,25035,24565.688,23073.869,23172.91,21838.754,21242.824,23477.672,25051.914,25286.46,25676.029,28665,11699.11,11293.36,11615.84,11658.36,11768.34,12411.384,12140.077,11961.852,12791.814,13246.12,12778.958,12791.166,11802.724,11793.998,11952.835,12254.614,12475.254,12433.14,12598.141,12505.026,12518.59,12622.762,13215.266
United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.397,0.397,1.885,1.885,1.885,1.885,1.885,1.885
Uruguay,310.147,302.037,311.963,312.574,330.951,288.409,263.056,224.854,218.115,282.234,155,157,144.169,171.18,195.934,150.296,149.512,122.031,127.517,126.025,38.077,40,46,51,50.637,50,57.288,65.925,74.742,69.759,69.889,46.195,47.14,49.332,114.014,118.019,58.737,61.706,54.234,45.822,49.716,60.3,60.3,47.022,47.198
Vanuatu,11.551,16.288,6.585,3.613,38.572,161.352,226.436,274.074,982.189,1429.699,1574,3316,3426.57,3076.226,2826.016,2569.838,2358.612,2093.163,1846.875,2038.178,1727.675,1392,1460,1378,2006.202,2145,2219.147,2490.146,2485.795,2593.31,2683.693,2698.855,2915.511,2898.035,3048.262,2706.935,2625.44,2297.053,2360.551,2098.318,1865.959,1812.66,1737.488,1507.201,1568.782
Venezuela (Bolivarian Rep. of),1165.682,1100.411,1041.223,1279.822,1356.987,1460.527,1421.829,1428.634,1418.05,1428.629,1727,1383,1424.666,1274.364,1453.119,1374.282,1159.07,1020.503,1026.319,952.629,936.717,950,1307,1288,1261.316,1542,1614.381,1554.297,1574.383,1502.881,1483.639,1551.511,1529.825,1934.217,2011.617,1821.252,1854.968,1837.266,1835.12,1698.199,1536.174,1402.566,1301.103,1313.957,1317.171
Viet Nam,289.7,347.135,365.413,382.651,389.592,410.975,446.242,507.975,537.838,501.493,526,712,862.338,954.785,1161.92,1214.233,1061.061,1200.679,1098.092,1149.284,1256.145,1456,1554,1589,1808.691,2126,2479.392,3144.038,3892.997,4662.833,5415.187,7064.057,7243.097,7301.013,7169.441,7373.413,7768.095,8025.567,8240.436,8520.663,9193.493,10349.597,12342.573,12422.028,13236.197
Wallis and Futuna Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.674,1.674,1.674,1.674,,,,,,,2.2,16.61,17.778,17.778
Yemen,0,0,0,0,0,0,0,0,0,0,12,14,13.653,13.653,27.438,26.431,26.624,25.638,26.043,25.821,25.821,31,120,134,,,,25.543,25.543,26.608,31.172,444.562,448.167,443.532,443.532,443.532,443.532,443.86,443.86,442.524,442.524,442.524,417.923,417.923,417.923
"Yemen, Arab Republic",11.525,13.057,14.077,13.881,14.109,13.455,12.921,13.215,13.216,12.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yemen, Democratic",1.85,1.85,1.85,1.85,1.85,1.85,1.85,6.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yugoslavia, Soc. Fed. Rep. of",3661.575,3759.567,3880.197,3859.245,3898.464,4130.69,4180.383,4476.264,4939.928,5487.671,5815,6027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,9.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.26,,,,,2.821,2.821,0.508,0.508
